3000
3000,7,89
3001,7,8,18,19,20,22,32,33,37,43,48,68,70,76,79,81,86,89
3002,7,44,46,47,53,64,76,87,88
3003,7,12,13,15,22,27,31,32,33,34,39,45,49,51,59,61,67,68,70,71,75,78,82,84,92,94,96,99
3004,7
3005,7,39
3006,7,64,78
3007,7
3008,7,24,36,42,43,48,53,65,69,70,80,84,86
3009,7,18
3010,7,12,39,63,71,75
3011,7,11,24,36,42,47,53,70,77,93,95
3012,7,11,24,26,33,36,53,63,77,84,96
3013,7,10
3014,7,10,57,87,96
3015,7,11,12,17,21,22,24,37,53,56,63,70,73,92,94
3016,7,33,48,54,64
3017,7,17,36,44,52,62,64,77,84,86,96
3018,7,8,11,12,50,63,75,86,99
3019,7,10,11,12,14,26,30,32,35,36,41,42,44,45,53,60,61,66,67,68,71,72,75,76,78,85,86,87,93,97,98,99
3020,7,11,17,36,52,53,58,63,65,78,94
3021,7,50,89
3022,7,25
3023,7,12,16,27,33,42,54,61,65,70,72,76,95,96,97
3024,7,11,21,31,43,45,48,49,53,73,84
3025,8,12,27,30,37,72,82,85
3026,8,36,63,70,95,96,97
3027,8
3028,8,20,21,30,72
3029,8
3030,8
3031,8
3032,8,11,32,42,46,49,70,86,87,92,94,95,97
3033,8,12,62,70,75
3034,8
3035,8,31,34,39,45,60,76,95,96
3036,8,25,34,53,58,62,63,86,87
3037,8
3038,8,12,13,22,76,81
3039,8,30,38,57,58,68
3040,8,27,30,40,46,63,83,92
3041,8,12,18,26,27,41,43,45,49,55,59,71
3042,8,39,43,56,66,99
3043,8,12,22
3044,8,12,22,75
3045,8,12,19,37,42,43,76
3046,8,47
3047,8
3048,8,12,14,15,23,27,42,51,57,61,66,71,76,81,85,92,97
3049,8,12,15,19,22,29,37,42,44,49,52,57,62,63,64,70,77,86
3050,8,21,23,58,72,93,97
3051,8,12,22,31,48,89
3052,8,18,19,22,25,34,37,64,68,79,87,89
3053,8
3054,8,12,24,25,30,32,33,34,42,45,46,49,54,55,58,62,65,74,75,86,87,89,93,95,96,99
3055,8,12,13,19,22,28,35,53,61,72,76,79,80,81,82,87,89
3056,8,12,18,22,37,48,65,71,75,76,87,96
3057,8,12,29,72
3058,8,10,12,13,20,25,29,31,35,37,41,45,49,55,57,60,61,71,72,76,81,87,92,97
3059,8,12
3060,8,34
3061,8,12,55,59,75,76,99
3062,8,12,13,16,17,24,28,31,32,33,36,42,43,44,46,47,48,49,51,55,61,63,64,65,70,76,77,84,85,86,87,89,90,95,96,97,98
3063,8,45,93
3064,8,93
3065,8,53
3066,8,22,24,27,34,39,42,70,93,96
3067,8
3068,8
3069,8,19,33,53,93
3070,8,19,42,45,62
3071,8,42,70,88
3072,8,42
3073,8
3074,8
3075,8,42,64
3076,8,53
3077,8,12,22,30,42,75,93
3078,8,29,31,58,65,68,70,73,78
3079,8,12,19,26,33,39,42,43,50,52,56,60,62,63,64,68,70,82,86,97,98
3080,8,45,67,69
3081,8,12,34,59,72
